CONTRACT_ID,CUSTOMER_ID,EQUIPMENT_ID,BRANCH_ID,RENTAL_START_DATE,RENTAL_END_DATE,DURATION_DAYS,DAILY_RATE,WEEKLY_RATE,MONTHLY_RATE,TOTAL_AMOUNT,STATUS,DELIVERY_ADDRESS,DELIVERY_CITY,DELIVERY_STATE,DELIVERY_LATITUDE,DELIVERY_LONGITUDE,PO_NUMBER,SALES_REP,_SOURCE_TABLE,_ROW_HASH,_LOADED_AT,_SOURCE_SYSTEM,_IS_CURRENT,_VALID_FROM,_VALID_TO
RC-030010,CU-020499,EQ-011356,BR-01029,2025-11-03,2025-11-08,5,164.59,493.77,1481.31,822.95,CANCELLED,11621 Jennifer Square Suite 514,Columbus,OH,39.919387,-83.055917,PO-524457,Dawn Murray,UR_RENTAL_CONTRACTS,208f96aef90efcf3a24ac9411cad00698f158c6f89c31bdd8a4fbece457d535d,2026-03-20T07:54:07.419991,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.419992,9999-12-31T00:00:00
RC-030011,CU-020182,EQ-013423,BR-01033,2025-10-15,2025-10-26,11,511.0,1533.0,4599.0,1533.0,COMPLETED,543 Andrew Knoll Suite 710,Hartford,CT,41.749672,-72.645523,PO-113108,Melanie Murillo,UR_RENTAL_CONTRACTS,6d980de64f7add5025c92b5d2651e2eb2e79e04d318e913f7ec605b124652a50,2026-03-20T07:54:07.420081,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.420082,9999-12-31T00:00:00
RC-030012,CU-020350,EQ-014504,BR-01018,2025-10-04,2026-02-04,123,566.31,1698.93,5096.79,20387.16,COMPLETED,9608 Kelley Ridge Suite 935,Charlotte,NC,35.170258,-80.910519,PO-233192,Elizabeth Scott,UR_RENTAL_CONTRACTS,9b7ebed58bbe60f7a2ae368546c49d0b12ac8cc7ab10c8d6eb377a70447037e9,2026-03-20T07:54:07.420178,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.420179,9999-12-31T00:00:00
RC-030013,CU-020627,EQ-012559,BR-01078,2024-07-14,2024-10-09,87,191.21,573.63,1720.89,3441.78,COMPLETED,9452 Gary Station,Newark,NJ,40.768985,-74.163734,PO-629653,Taylor Hamilton,UR_RENTAL_CONTRACTS,2af4854f993fea76a69e41abb832f083d19adba53e6837a641543bc1e4f32e43,2026-03-20T07:54:07.420267,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.420268,9999-12-31T00:00:00
RC-030014,CU-020253,EQ-013960,BR-01018,2025-01-23,2025-01-26,3,480.14,1440.42,4321.26,1440.42,COMPLETED,818 Evelyn Causeway,San Antonio,TX,29.354757,-98.47412,PO-560548,Shelley Le,UR_RENTAL_CONTRACTS,3fa3773443279865bb1c2cf140596671d87f94c0ad14d2d8e2f775aa24e3c389,2026-03-20T07:54:07.420354,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.420354,9999-12-31T00:00:00
RC-030015,CU-020012,EQ-013732,BR-01095,2025-09-02,2026-02-02,153,87.28,261.84,785.52,3927.6,COMPLETED,1414 Michael Circle,Hartford,CT,41.766435,-72.668738,PO-598636,Alexis Miller,UR_RENTAL_CONTRACTS,99480112062500b4cae433d941a23bd0ba26f9ee35fecb3060aaa8bdf0b93208,2026-03-20T07:54:07.420450,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.420451,9999-12-31T00:00:00
RC-030016,CU-020676,EQ-011159,BR-01089,2024-09-12,2024-09-20,8,520.74,1562.22,4686.66,1562.22,COMPLETED,4296 Kristen Glens Apt. 226,El Paso,TX,31.773027,-106.403118,PO-704739,Chad Holt,UR_RENTAL_CONTRACTS,6375c1e0eb366190cde47222b6c79bdca8b8935811476632e669e2537afc2cb4,2026-03-20T07:54:07.420536,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.420537,9999-12-31T00:00:00
RC-030017,CU-020310,EQ-014722,BR-01067,2025-08-04,2025-12-06,124,182.64,547.92,1643.76,6575.04,COMPLETED,5396 Melanie Crossroad,Hartford,CT,41.809894,-72.645667,PO-651856,Joshua Miller,UR_RENTAL_CONTRACTS,b5423c47de267705e0523a39d43f4662fbbb0f2d10bf3b14e6ac19dbaf16c685,2026-03-20T07:54:07.420626,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.420627,9999-12-31T00:00:00
RC-030018,CU-020217,EQ-011193,BR-01032,2024-10-12,2025-01-19,99,524.46,1573.38,4720.14,14160.42,COMPLETED,53968 Walton Ferry Suite 682,Portland,OR,45.548473,-122.742447,PO-668492,Brent Holland,UR_RENTAL_CONTRACTS,9fcfbc801c6f41e2360f5a6913c768482f47a98b8caa830ea1e2fcb7d4c08f23,2026-03-20T07:54:07.420722,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.420723,9999-12-31T00:00:00
RC-030019,CU-020378,EQ-011803,BR-01083,2024-06-01,2024-06-02,1,613.31,1839.93,5519.79,613.31,COMPLETED,6614 Kimberly Plain,Tulsa,OK,36.142017,-95.945426,PO-423944,Robert Smith,UR_RENTAL_CONTRACTS,292955f0a3fcd4d88e7e6e980d9bd44de3e22c0b9c53380962b619c3b41c36cb,2026-03-20T07:54:07.420816,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.420817,9999-12-31T00:00:00
RC-030020,CU-020334,EQ-010599,BR-01044,2024-03-24,2024-04-15,22,1113.13,3339.39,10018.17,10018.17,COMPLETED,096 Michael Courts Suite 911,Raleigh,NC,35.7139,-78.671532,PO-388977,Matthew Young,UR_RENTAL_CONTRACTS,b8428f43d76d7a8c08a80fac598f76caae683aec400b83eeef888e67ca8f5f6f,2026-03-20T07:54:07.420903,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.420903,9999-12-31T00:00:00
RC-030021,CU-020609,EQ-010994,BR-01067,2025-02-03,2025-02-17,14,596.77,1790.31,5370.93,3580.62,COMPLETED,533 George Alley,Seattle,WA,47.563236,-122.296935,PO-649476,Amber Villanueva,UR_RENTAL_CONTRACTS,0550d0c9855faa130b7985723e0893e97007b0976ce7b153c36f060a0bae7603,2026-03-20T07:54:07.421004,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.421005,9999-12-31T00:00:00
RC-030022,CU-020712,EQ-010506,BR-01045,2024-09-07,2024-09-14,7,375.36,1126.08,3378.24,2627.52,COMPLETED,8725 Tanner Park Apt. 015,Charlotte,NC,35.264225,-80.881931,PO-902707,Darren Smith,UR_RENTAL_CONTRACTS,ab6b265814a216dbe7b0bfadfdbd8b8f42d0e9790cd54a4110bccb41b5ae8d8a,2026-03-20T07:54:07.421094,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.421095,9999-12-31T00:00:00
RC-030023,CU-020575,EQ-010532,BR-01085,2026-01-24,2026-05-24,120,150.3,450.9,1352.7,5410.8,ACTIVE,6964 Gallagher Cliff,Philadelphia,PA,39.968308,-75.188898,PO-169543,Terrance Jones,UR_RENTAL_CONTRACTS,3f5b6add9ddfe2ab53bdab17d59aec5aeb76f38b9141c8b4c937f25379a2ffc7,2026-03-20T07:54:07.421200,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.421201,9999-12-31T00:00:00
RC-030024,CU-020928,EQ-011494,BR-01003,2024-05-31,2024-08-04,65,1559.15,4677.45,14032.35,28064.7,COMPLETED,683 Benitez Terrace,Indianapolis,IN,39.684868,-86.185436,PO-153253,Elizabeth Thomas,UR_RENTAL_CONTRACTS,680d021a0def97aa50830d53e590bcb3ab4f96fac0cdb33b754f55df0026cea6,2026-03-20T07:54:07.421296,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.421296,9999-12-31T00:00:00
RC-030025,CU-020700,EQ-014457,BR-01087,2025-07-11,2025-09-30,81,133.94,401.82,1205.46,2410.92,COMPLETED,54309 Wendy Row,Pittsburgh,PA,40.417138,-79.944615,PO-593237,Terri Holt,UR_RENTAL_CONTRACTS,e60eeaeeb40419c5a048773c01e96cb89c0aebfd8bef4edf60d36ec773f9ee5e,2026-03-20T07:54:07.421392,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.421393,9999-12-31T00:00:00
RC-030026,CU-020573,EQ-014246,BR-01007,2024-06-12,2024-06-13,1,392.18,1176.54,3529.62,392.18,COMPLETED,6536 Crawford Fords,Detroit,MI,42.344525,-83.112104,PO-625239,Jason Meadows,UR_RENTAL_CONTRACTS,54555af900666b96290925115f9183c7ca9575b61c2001fc272c7db53421c04a,2026-03-20T07:54:07.421489,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.421490,9999-12-31T00:00:00
RC-030027,CU-020766,EQ-011715,BR-01050,2024-08-09,2024-08-13,4,198.25,594.75,1784.25,793.0,COMPLETED,452 Zachary Route,Chicago,IL,41.88552,-87.645119,PO-650261,Charles Nguyen,UR_RENTAL_CONTRACTS,a361d5de77724dec0869ff983fd45e947cd0379d93702e906961a801e4592784,2026-03-20T07:54:07.421573,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.421573,9999-12-31T00:00:00
RC-030028,CU-020563,EQ-013515,BR-01075,2024-08-24,2024-08-27,3,527.22,1581.66,4744.98,1581.66,COMPLETED,529 Farmer Port Apt. 496,St. Louis,MO,38.585668,-90.169755,PO-353046,Jeffrey Stewart,UR_RENTAL_CONTRACTS,9f0a319f9f7689e00071d3514ef791bd0a50d0bf94d29c48db528202d8ba931d,2026-03-20T07:54:07.421667,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.421668,9999-12-31T00:00:00
RC-030029,CU-020173,EQ-013212,BR-01029,2024-09-10,2024-11-08,59,482.73,1448.19,4344.57,4344.57,COMPLETED,2197 Tiffany Loaf,Columbus,OH,39.973797,-83.033914,PO-996367,Troy Roberts,UR_RENTAL_CONTRACTS,8e7cf87e36a459c0e3f95ddc64d234084d8ecf4ffbdfc26bffa4be854930951f,2026-03-20T07:54:07.421756,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.421756,9999-12-31T00:00:00
RC-030030,CU-020836,EQ-010325,BR-01082,2024-07-02,2024-11-27,148,337.05,1011.15,3033.45,12133.8,COMPLETED,4024 Whitney Parkway,Columbus,OH,40.021248,-82.923307,PO-807284,Stephen Chavez,UR_RENTAL_CONTRACTS,f556e4de76d3b56af3ad6fdff543ae054871dddb229789a8de7da4bf4d447499,2026-03-20T07:54:07.421857,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.421858,9999-12-31T00:00:00
RC-030031,CU-020817,EQ-013193,BR-01013,2024-11-18,2024-11-23,5,317.8,953.4,2860.2,1589.0,CANCELLED,3270 Debra Ports,Columbus,OH,39.850429,-83.012484,PO-906448,Brian Smith,UR_RENTAL_CONTRACTS,a939ab5b9f09089981cf7d6cad20ba1ca2425ccb64d3f40a2509acaf5b7ac752,2026-03-20T07:54:07.421953,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.421954,9999-12-31T00:00:00
RC-030032,CU-020205,EQ-012256,BR-01081,2024-11-27,2025-04-20,144,605.55,1816.65,5449.95,21799.8,COMPLETED,636 Jackson Drives Apt. 264,St. Louis,MO,38.652728,-90.141402,PO-946885,Teresa Harris,UR_RENTAL_CONTRACTS,6bd8f34258219e2e59579d18d64862ce0048235b79ffc213b8c5259dcb07f0b6,2026-03-20T07:54:07.422051,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.422051,9999-12-31T00:00:00
RC-030033,CU-020886,EQ-014491,BR-01038,2025-03-09,2025-04-08,30,174.1,522.3,1566.9,2089.2,COMPLETED,674 Mendoza Walks Apt. 698,Minneapolis,MN,45.009477,-93.31322,PO-881791,Cory Stafford,UR_RENTAL_CONTRACTS,352d2c9f61a78624cf97d8bbac78e68991df22bc24c59c94e8161c37154e028b,2026-03-20T07:54:07.422147,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.422148,9999-12-31T00:00:00
RC-030034,CU-020669,EQ-013733,BR-01078,2024-05-23,2024-06-02,10,333.16,999.48,2998.44,999.48,COMPLETED,32798 Lisa Village,Salt Lake City,UT,40.744609,-111.951791,PO-545182,Christopher Dodson,UR_RENTAL_CONTRACTS,e74efc1024eae5c38924f37c8370b50287e293ff8e42da8591cc1fb56dedeae9,2026-03-20T07:54:07.422234,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.422235,9999-12-31T00:00:00
RC-030035,CU-020395,EQ-012665,BR-01050,2025-07-19,2025-08-14,26,157.82,473.46,1420.38,1420.38,COMPLETED,99614 Dean Walks Suite 147,Cincinnati,OH,39.151867,-84.527209,PO-252030,Trevor Villegas,UR_RENTAL_CONTRACTS,ca35ca426ae2785c7c67b8c0e443418924eb0007b0902f91c875abfbb7d95a29,2026-03-20T07:54:07.422339,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.422339,9999-12-31T00:00:00
RC-030036,CU-020039,EQ-013953,BR-01094,2025-09-10,2025-09-13,3,147.8,443.4,1330.2,443.4,COMPLETED,495 Raymond Viaduct,Pittsburgh,PA,40.368352,-80.033553,PO-480766,Spencer Pittman,UR_RENTAL_CONTRACTS,78c100f6601887f4f252f491ff950f4ea9903004d0bfda9c0a28de48d61caec7,2026-03-20T07:54:07.422432,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.422433,9999-12-31T00:00:00
RC-030037,CU-020161,EQ-013409,BR-01008,2026-02-26,2026-03-12,14,128.43,385.29,1155.87,770.58,COMPLETED,561 Osborne Terrace Apt. 966,Philadelphia,PA,39.971465,-75.165618,PO-288337,Timothy Gilbert,UR_RENTAL_CONTRACTS,224675f6ba08b6ccdd25ece870659ecad4eda10b6ea8de1bace09e3b76ba6e1a,2026-03-20T07:54:07.422525,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.422526,9999-12-31T00:00:00
RC-030038,CU-020059,EQ-014758,BR-01063,2025-06-15,2025-06-16,1,306.36,919.08,2757.24,306.36,COMPLETED,57890 Robles Cape,Jacksonville,FL,30.250942,-81.581201,PO-161932,Adrian Brown,UR_RENTAL_CONTRACTS,9f0d44aecc4f4bb96d3b83f5acf627955d74db8e9270e27a2ad9425b7ad8902d,2026-03-20T07:54:07.422624,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.422624,9999-12-31T00:00:00
RC-030039,CU-020805,EQ-014789,BR-01006,2025-08-15,2025-12-14,121,266.68,800.04,2400.12,9600.48,COMPLETED,7112 Derrick Forest,Pittsburgh,PA,40.508056,-80.024496,PO-254303,Ryan Taylor,UR_RENTAL_CONTRACTS,ec7805742d969b0fdb367e4d9e371d0fc0facb91069e58c7348ca99eaffefbf7,2026-03-20T07:54:07.422716,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.422717,9999-12-31T00:00:00
RC-030040,CU-020039,EQ-014910,BR-01063,2024-09-06,2024-09-12,6,144.64,433.92,1301.76,867.84,COMPLETED,951 Brittany Drives Apt. 722,Pittsburgh,PA,40.380185,-80.014057,PO-601407,Richard Sanchez,UR_RENTAL_CONTRACTS,2f423ce46cacd0b9d021423df2fba7fb869482513f8a93b717768eb7106c6450,2026-03-20T07:54:07.422813,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.422814,9999-12-31T00:00:00
RC-030041,CU-020674,EQ-010279,BR-01089,2025-09-07,2025-11-09,63,302.66,907.98,2723.94,5447.88,COMPLETED,39895 Daniel Crest,Denver,CO,39.766142,-104.972976,PO-315774,Lori Braun,UR_RENTAL_CONTRACTS,9cf8e61a8b7b43efde6a53fcd6d02cb4ab7aae742e1b020f8b0b17d2684f91bb,2026-03-20T07:54:07.422913,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.422913,9999-12-31T00:00:00
RC-030042,CU-020601,EQ-010442,BR-01077,2025-05-18,2025-05-23,5,130.44,391.32,1173.96,652.2,COMPLETED,87927 Price Mill Apt. 360,Indianapolis,IN,39.875759,-86.172813,PO-735951,Michelle White,UR_RENTAL_CONTRACTS,dc3bc91335512d42ab1fd7a9bd0909b12975c2f108db88cf26fc393aadb02ae6,2026-03-20T07:54:07.423015,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.423016,9999-12-31T00:00:00
RC-030043,CU-020944,EQ-012256,BR-01081,2025-05-26,2025-06-01,6,605.55,1816.65,5449.95,3633.3,CANCELLED,5144 Hogan Lane Suite 743,Charlotte,NC,35.186473,-80.864121,PO-661438,Jamie Wilkins,UR_RENTAL_CONTRACTS,943cf8f46165a9ecba34b955ea10aaa6776d6f6186f593ca285e2f82c57dff7b,2026-03-20T07:54:07.423109,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.423110,9999-12-31T00:00:00
RC-030044,CU-020844,EQ-011006,BR-01084,2024-12-23,2025-01-05,13,545.38,1636.14,4908.42,1636.14,COMPLETED,8499 Briana Squares,Baltimore,MD,39.208273,-76.607192,PO-308850,Anthony Cameron,UR_RENTAL_CONTRACTS,42b0b2601d6bc5e2abc38a817036881d7874941f56149b234b8e33ab7ff49b14,2026-03-20T07:54:07.423204,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.423205,9999-12-31T00:00:00
RC-030045,CU-020659,EQ-010421,BR-01043,2025-03-29,2025-04-24,26,102.14,306.42,919.26,919.26,COMPLETED,00843 Brenda Highway,Cincinnati,OH,39.105628,-84.541981,PO-183701,Lauren Dunn,UR_RENTAL_CONTRACTS,f629a70e81efa7c1569b83f82b08e150952160201615958ef8a5a2603e01c1bc,2026-03-20T07:54:07.423302,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.423303,9999-12-31T00:00:00
RC-030046,CU-020360,EQ-010715,BR-01048,2025-09-21,2025-09-22,1,321.12,963.36,2890.08,321.12,CANCELLED,796 Patricia Brooks,Pittsburgh,PA,40.533544,-79.936225,PO-947478,Whitney Lutz,UR_RENTAL_CONTRACTS,83a5412914c545eb20318853ae2d6fb42539fcf699ceb79f02bd1bd709c3603c,2026-03-20T07:54:07.423395,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.423396,9999-12-31T00:00:00
RC-030047,CU-020067,EQ-012316,BR-01071,2025-09-20,2025-09-22,2,315.71,947.13,2841.39,631.42,COMPLETED,504 Allen Well Apt. 719,Nashville,TN,36.168984,-86.753647,PO-966729,Justin Santos,UR_RENTAL_CONTRACTS,7089da682f977697dba066ef61f7af16207c18d3ceb1f71c3a27fd460aad3af1,2026-03-20T07:54:07.423495,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.423496,9999-12-31T00:00:00
RC-030048,CU-020716,EQ-014200,BR-01023,2024-03-23,2024-03-25,2,199.86,599.58,1798.74,399.72,CANCELLED,416 Emily Ramp Apt. 624,Hartford,CT,41.800174,-72.618482,PO-894902,Kelly Fox,UR_RENTAL_CONTRACTS,2e9e74185642091c64a62511afbbe7bcc243cd43bb86ed4757ea8d23488a1bba,2026-03-20T07:54:07.423587,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.423588,9999-12-31T00:00:00
RC-030049,CU-020813,EQ-011683,BR-01003,2024-11-15,2024-11-24,9,291.1,873.3,2619.9,873.3,COMPLETED,632 William Flat,Raleigh,NC,35.89638,-78.725699,PO-217211,William Fitzgerald MD,UR_RENTAL_CONTRACTS,45b24326bdd422ef72c12bd1c4fa600bb464787fc273b9e16a3ece5a6977b495,2026-03-20T07:54:07.423684,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.423684,9999-12-31T00:00:00
RC-030050,CU-020200,EQ-012246,BR-01044,2025-07-17,2025-08-06,20,299.91,899.73,2699.19,1799.46,COMPLETED,37622 Farrell Isle,San Antonio,TX,29.504045,-98.43522,PO-258197,Barbara Nguyen,UR_RENTAL_CONTRACTS,e4f17c5d882aa47108d37af590e27a036915cc63088937b233d7e3096ceae257,2026-03-20T07:54:07.423786,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.423787,9999-12-31T00:00:00
RC-030051,CU-020837,EQ-010553,BR-01059,2024-12-07,2024-12-10,3,299.01,897.03,2691.09,897.03,COMPLETED,516 Leslie Path,Tulsa,OK,36.108125,-96.096482,PO-296353,Robert Jenkins,UR_RENTAL_CONTRACTS,53f7395b4d006f0382145a18d688f4d9207879df712f20833a43db8616e9a0f5,2026-03-20T07:54:07.423880,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.423881,9999-12-31T00:00:00
RC-030052,CU-020026,EQ-010675,BR-01081,2025-10-15,2025-10-19,4,180.52,541.56,1624.68,722.08,COMPLETED,668 Shaffer Coves Apt. 290,Austin,TX,30.231307,-97.760264,PO-508659,Ashlee Brown,UR_RENTAL_CONTRACTS,f0a6cb637f212cdbc86c5370c2bb629c42b9511007fd4c16badcef212e3ea4aa,2026-03-20T07:54:07.423985,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.423985,9999-12-31T00:00:00
RC-030053,CU-020397,EQ-012319,BR-01030,2024-07-26,2024-07-29,3,226.91,680.73,2042.19,680.73,COMPLETED,8511 Fox Crest,St. Louis,MO,38.584114,-90.229464,PO-233268,Amy Mitchell,UR_RENTAL_CONTRACTS,521942159e8c6d56c6261b948862db013f3683c0491502eec0cd550637a35fcb,2026-03-20T07:54:07.424077,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.424078,9999-12-31T00:00:00
RC-030054,CU-020313,EQ-012215,BR-01019,2024-04-21,2024-04-24,3,296.37,889.11,2667.33,889.11,COMPLETED,535 Hicks Pass,Nashville,TN,36.194764,-86.768118,PO-920964,Anne Nelson,UR_RENTAL_CONTRACTS,c8be3bfac39d739e69a451c7e37292574f99026257ed1dd8eabd4f2785406c6f,2026-03-20T07:54:07.424186,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.424187,9999-12-31T00:00:00
RC-030055,CU-020002,EQ-013807,BR-01044,2024-04-23,2024-05-04,11,129.43,388.29,1164.87,388.29,COMPLETED,35631 Simpson Light,Detroit,MI,42.38742,-83.112438,PO-345890,Charles Davis,UR_RENTAL_CONTRACTS,8d9bb00954348a515636eebeb4a1a4e86aba38a8d93a368ccd79b47f6938bdfa,2026-03-20T07:54:07.424298,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.424299,9999-12-31T00:00:00
RC-030056,CU-020761,EQ-011499,BR-01002,2025-05-03,2025-05-15,12,216.37,649.11,1947.33,649.11,CANCELLED,8884 Hunt Spur,Richmond,VA,37.554243,-77.497442,PO-678038,Tina Gardner,UR_RENTAL_CONTRACTS,b01091c8c8faf6e1ffa84737dbe293e07a0ab69d85b6539558e451b30a278f06,2026-03-20T07:54:07.424411,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.424412,9999-12-31T00:00:00
